idx,x,y,z
0,72.46116,-9.133935,-0.40186533
1,72.51531,-9.132957,-0.40186533
2,72.5694,-9.130025,-0.40186533
3,72.62334,-9.125142,-0.40186533
4,72.67706,-9.118315,-0.40186533
5,72.730515,-9.109552,-0.40186533
6,72.783615,-9.0988655,-0.40186533
7,72.83629,-9.086269,-0.40186533
8,72.88848,-9.071779,-0.40186533
9,72.94011,-9.055415,-0.40186533
10,72.99112,-9.037197,-0.40186533
11,73.041435,-9.017149,-0.40186533
12,73.09099,-8.995298,-0.40186533
13,73.13973,-8.971672,-0.40186533
14,73.187584,-8.946302,-0.40186533
15,73.23449,-8.919221,-0.40186533
16,73.28039,-8.890464,-0.40186533
17,73.32522,-8.860068,-0.40186533
18,73.36892,-8.828074,-0.40186533
19,73.41144,-8.794524,-0.40186533
20,73.45272,-8.7594595,-0.40186533
21,73.49271,-8.722928,-0.40186533
22,73.53135,-8.684977,-0.40186533
23,73.568596,-8.645656,-0.40186533
24,73.6044,-8.605015,-0.40186533
25,73.63871,-8.5631075,-0.40186533
26,73.67149,-8.519989,-0.40186533
27,73.70269,-8.475716,-0.40186533
28,73.73227,-8.430345,-0.40186533
29,73.76019,-8.383935,-0.40186533
