idx,x,y,z
0,37.28994,-1.3729018,-0.301148
1,37.344093,-1.3719239,-0.301148
2,37.39818,-1.3689916,-0.301148
3,37.452118,-1.3641087,-0.301148
4,37.505848,-1.3572816,-0.301148
5,37.5593,-1.348519,-0.301148
6,37.612396,-1.3378326,-0.301148
7,37.665073,-1.3252362,-0.301148
8,37.717262,-1.3107462,-0.301148
9,37.768894,-1.2943815,-0.301148
10,37.8199,-1.2761635,-0.301148
11,37.870216,-1.2561159,-0.301148
12,37.919773,-1.2342649,-0.301148
13,37.968513,-1.2106389,-0.301148
14,38.016365,-1.1852688,-0.301148
15,38.06327,-1.1581875,-0.301148
16,38.10917,-1.1294305,-0.301148
17,38.154,-1.0990353,-0.301148
18,38.1977,-1.0670414,-0.301148
19,38.240223,-1.0334905,-0.301148
20,38.2815,-0.9984265,-0.301148
21,38.32149,-0.961895,-0.301148
22,38.360134,-0.92394364,-0.301148
23,38.39738,-0.884622,-0.301148
24,38.43318,-0.84398115,-0.301148
25,38.467495,-0.8020743,-0.301148
26,38.500275,-0.75895596,-0.301148
27,38.531475,-0.71468234,-0.301148
28,38.561054,-0.6693112,-0.301148
29,38.588978,-0.62290174,-0.301148
