idx,x,y,z
0,31.482952,-0.6143751,0.17546815
1,31.537106,-0.61339724,0.17546815
2,31.591188,-0.61046493,0.17546815
3,31.64513,-0.605582,0.17546815
4,31.69886,-0.5987549,0.17546815
5,31.75231,-0.58999234,0.17546815
6,31.805407,-0.57930595,0.17546815
7,31.858084,-0.5667095,0.17546815
8,31.910273,-0.5522195,0.17546815
9,31.961903,-0.5358549,0.17546815
10,32.01291,-0.51763684,0.17546815
11,32.063225,-0.49758926,0.17546815
12,32.112785,-0.47573823,0.17546815
13,32.161522,-0.45211223,0.17546815
14,32.209377,-0.42674208,0.17546815
15,32.256283,-0.39966086,0.17546815
16,32.30218,-0.37090385,0.17546815
17,32.347008,-0.3405086,0.17546815
18,32.390713,-0.30851468,0.17546815
19,32.43323,-0.27496386,0.17546815
20,32.474514,-0.23989983,0.17546815
21,32.5145,-0.20336832,0.17546815
22,32.553143,-0.16541699,0.17546815
23,32.59039,-0.1260953,0.17546815
24,32.626194,-0.085454516,0.17546815
25,32.660507,-0.04354763,0.17546815
26,32.693287,-0.00042928246,0.17546815
27,32.724483,0.043844312,0.17546815
28,32.754066,0.08921543,0.17546815
29,32.78199,0.13562492,0.17546815
