idx,x,y,z
0,70.26395,-6.480754,-0.284224
1,70.3181,-6.4797764,-0.284224
2,70.372185,-6.476844,-0.284224
3,70.426125,-6.471961,-0.284224
4,70.47986,-6.4651337,-0.284224
5,70.5333,-6.4563713,-0.284224
6,70.5864,-6.445685,-0.284224
7,70.63908,-6.4330883,-0.284224
8,70.69127,-6.4185987,-0.284224
9,70.7429,-6.402234,-0.284224
10,70.79391,-6.384016,-0.284224
11,70.84422,-6.3639684,-0.284224
12,70.893776,-6.3421173,-0.284224
13,70.94252,-6.318491,-0.284224
14,70.99037,-6.293121,-0.284224
15,71.03728,-6.26604,-0.284224
16,71.083176,-6.2372828,-0.284224
17,71.128006,-6.2068877,-0.284224
18,71.17171,-6.174894,-0.284224
19,71.214226,-6.1413426,-0.284224
20,71.25551,-6.106279,-0.284224
21,71.295494,-6.0697474,-0.284224
22,71.33414,-6.031796,-0.284224
23,71.37138,-5.992474,-0.284224
24,71.40719,-5.9518337,-0.284224
25,71.441505,-5.9099264,-0.284224
26,71.47428,-5.8668084,-0.284224
27,71.50548,-5.8225346,-0.284224
28,71.53506,-5.7771635,-0.284224
29,71.56298,-5.730754,-0.284224
