idx,x,y,z
0,72.89699,-8.801127,-0.3880446
1,72.95114,-8.80015,-0.3880446
2,73.005226,-8.797217,-0.3880446
3,73.059166,-8.792335,-0.3880446
4,73.11289,-8.785507,-0.3880446
5,73.16634,-8.776745,-0.3880446
6,73.219444,-8.766058,-0.3880446
7,73.27212,-8.753462,-0.3880446
8,73.32431,-8.738972,-0.3880446
9,73.37594,-8.722608,-0.3880446
10,73.42695,-8.70439,-0.3880446
11,73.477264,-8.684341,-0.3880446
12,73.52682,-8.662491,-0.3880446
13,73.57556,-8.6388645,-0.3880446
14,73.62341,-8.613494,-0.3880446
15,73.67032,-8.586413,-0.3880446
16,73.71622,-8.557656,-0.3880446
17,73.76105,-8.527261,-0.3880446
18,73.80475,-8.495267,-0.3880446
19,73.84727,-8.461716,-0.3880446
20,73.88855,-8.426652,-0.3880446
21,73.928535,-8.3901205,-0.3880446
22,73.96718,-8.352169,-0.3880446
23,74.004425,-8.312847,-0.3880446
24,74.04023,-8.272207,-0.3880446
25,74.07454,-8.2303,-0.3880446
26,74.10732,-8.187181,-0.3880446
27,74.13852,-8.142908,-0.3880446
28,74.1681,-8.097537,-0.3880446
29,74.19602,-8.051127,-0.3880446
