idx,x,y,z
0,69.7632,-6.6676445,-0.29836687
1,69.81735,-6.6666665,-0.29836687
2,69.87144,-6.6637344,-0.29836687
3,69.92538,-6.6588516,-0.29836687
4,69.97911,-6.6520243,-0.29836687
5,70.032555,-6.643262,-0.29836687
6,70.085655,-6.6325755,-0.29836687
7,70.13833,-6.619979,-0.29836687
8,70.19052,-6.605489,-0.29836687
9,70.24215,-6.589124,-0.29836687
10,70.29316,-6.570906,-0.29836687
11,70.343475,-6.5508585,-0.29836687
12,70.393036,-6.5290074,-0.29836687
13,70.44177,-6.5053816,-0.29836687
14,70.489624,-6.4800115,-0.29836687
15,70.53653,-6.4529305,-0.29836687
16,70.58243,-6.4241734,-0.29836687
17,70.62726,-6.393778,-0.29836687
18,70.67096,-6.361784,-0.29836687
19,70.71348,-6.3282332,-0.29836687
20,70.75476,-6.293169,-0.29836687
21,70.79475,-6.2566376,-0.29836687
22,70.83339,-6.2186866,-0.29836687
23,70.870636,-6.1793647,-0.29836687
24,70.90644,-6.138724,-0.29836687
25,70.94076,-6.096817,-0.29836687
26,70.97353,-6.0536985,-0.29836687
27,71.00473,-6.009425,-0.29836687
28,71.03432,-5.964054,-0.29836687
29,71.06224,-5.9176445,-0.29836687
