step,x,y,yaw
0,64.70361373624353,-5.9056292422286845,-0.5441604593840776
1,64.74162022126974,-5.666375718357698,-0.44058871160713226
2,64.98587494240577,-5.636237743173437,-0.21755611775373984
3,65.44462167009458,-5.512156764009285,-0.31319186940542676
4,65.52735976066796,-5.488504233423258,-0.16069463945343676
5,65.81304863284359,-5.323447611866303,-0.10842970713920626
6,66.0810139181285,-4.849810042248828,-0.317271075798002
