idx,x,y,z
0,64.70399,-5.905786,-0.21936344
1,64.75814,-5.904808,-0.21936344
2,64.812225,-5.9018755,-0.21936344
3,64.866165,-5.8969927,-0.21936344
4,64.9199,-5.890166,-0.21936344
5,64.97334,-5.881403,-0.21936344
6,65.02644,-5.8707166,-0.21936344
7,65.079124,-5.8581204,-0.21936344
8,65.13131,-5.8436303,-0.21936344
9,65.18294,-5.8272657,-0.21936344
10,65.23395,-5.8090477,-0.21936344
11,65.28426,-5.789,-0.21936344
12,65.333824,-5.767149,-0.21936344
13,65.38256,-5.743523,-0.21936344
14,65.43041,-5.718153,-0.21936344
15,65.47732,-5.6910715,-0.21936344
16,65.52322,-5.662315,-0.21936344
17,65.56805,-5.6319194,-0.21936344
18,65.61175,-5.5999255,-0.21936344
19,65.65427,-5.566375,-0.21936344
20,65.69555,-5.5313106,-0.21936344
21,65.735535,-5.494779,-0.21936344
22,65.77418,-5.4568276,-0.21936344
23,65.811424,-5.417506,-0.21936344
24,65.84723,-5.3768654,-0.21936344
25,65.881546,-5.3349586,-0.21936344
26,65.91432,-5.29184,-0.21936344
27,65.94552,-5.2475667,-0.21936344
28,65.975105,-5.202195,-0.21936344
29,66.00303,-5.155786,-0.21936344
