step,lateral_err,orientation_err,speed_fwd,speed_lat,angular_vel,norm_rf
0,-0.000019,2.053981,-0.002937,0.001639,-0.002647,0.000000
1,-0.256929,2.220825,-0.019183,-0.021109,0.013709,0.000000
2,-0.325858,2.232087,-0.010726,-0.005615,0.000917,0.000000
3,-0.463108,2.287849,-0.022715,-0.010753,0.004369,0.000000
4,-0.467058,2.334117,-0.008069,-0.000323,0.003784,0.000000
5,-0.608422,2.343084,-0.018768,-0.011576,0.000734,0.000000
