idx,x,y,z
0,63.610306,-5.896101,-0.1820403
1,63.66446,-5.895123,-0.1820403
2,63.718544,-5.892191,-0.1820403
3,63.772484,-5.887308,-0.1820403
4,63.826214,-5.880481,-0.1820403
5,63.87966,-5.8717184,-0.1820403
6,63.932762,-5.861032,-0.1820403
7,63.98544,-5.8484354,-0.1820403
8,64.03763,-5.8339453,-0.1820403
9,64.08926,-5.8175807,-0.1820403
10,64.14027,-5.7993627,-0.1820403
11,64.19058,-5.7793155,-0.1820403
12,64.24014,-5.7574644,-0.1820403
13,64.28888,-5.733838,-0.1820403
14,64.33673,-5.708468,-0.1820403
15,64.38364,-5.681387,-0.1820403
16,64.429535,-5.65263,-0.1820403
17,64.474365,-5.622235,-0.1820403
18,64.51807,-5.5902405,-0.1820403
19,64.560585,-5.5566897,-0.1820403
20,64.60187,-5.521626,-0.1820403
21,64.64185,-5.4850945,-0.1820403
22,64.6805,-5.447143,-0.1820403
23,64.71774,-5.407821,-0.1820403
24,64.75355,-5.3671803,-0.1820403
25,64.787865,-5.3252735,-0.1820403
26,64.82064,-5.2821555,-0.1820403
27,64.85184,-5.2378817,-0.1820403
28,64.88142,-5.1925106,-0.1820403
29,64.90934,-5.146101,-0.1820403
