idx,x,y,z
0,68.837006,-6.475462,-0.27576956
1,68.89116,-6.474484,-0.27576956
2,68.945244,-6.471552,-0.27576956
3,68.99918,-6.4666686,-0.27576956
4,69.05292,-6.4598417,-0.27576956
5,69.10636,-6.451079,-0.27576956
6,69.15946,-6.4403925,-0.27576956
7,69.212135,-6.4277964,-0.27576956
8,69.26433,-6.413306,-0.27576956
9,69.315956,-6.3969417,-0.27576956
10,69.36697,-6.3787236,-0.27576956
11,69.41728,-6.358676,-0.27576956
12,69.46684,-6.336825,-0.27576956
13,69.51558,-6.313199,-0.27576956
14,69.56343,-6.287829,-0.27576956
15,69.61034,-6.2607474,-0.27576956
16,69.656235,-6.231991,-0.27576956
17,69.701065,-6.2015953,-0.27576956
18,69.74477,-6.1696014,-0.27576956
19,69.787285,-6.1360507,-0.27576956
20,69.82857,-6.1009865,-0.27576956
21,69.86855,-6.064455,-0.27576956
22,69.907196,-6.0265036,-0.27576956
23,69.94444,-5.987182,-0.27576956
24,69.98025,-5.9465413,-0.27576956
25,70.014565,-5.9046345,-0.27576956
26,70.04734,-5.861516,-0.27576956
27,70.07854,-5.8172426,-0.27576956
28,70.10812,-5.771871,-0.27576956
29,70.13605,-5.725462,-0.27576956
