step,lateral_err,orientation_err,speed_fwd,speed_lat,angular_vel,norm_rf
0,0.000034,-0.563713,-0.001121,-0.004240,-0.003472,0.204917
1,0.265478,-0.514398,0.004654,0.022621,0.007333,0.204917
2,0.359533,-0.556255,0.030759,0.001654,0.022508,0.204917
3,0.298212,-0.598172,0.021560,-0.008318,0.015296,0.204917
4,0.423271,-0.481657,0.001160,0.010272,0.009570,0.204917
5,0.342817,-0.514408,0.014562,-0.008233,0.012054,0.204917
6,0.237618,-0.544486,0.013509,-0.009580,0.009002,0.204917
7,0.087275,-0.514827,0.025258,-0.013223,0.011364,0.204917
