idx,x,y,z
0,37.694756,-1.5536436,-0.1056913
1,37.74891,-1.5526657,-0.1056913
2,37.80299,-1.5497334,-0.1056913
3,37.856934,-1.5448505,-0.1056913
4,37.910664,-1.5380234,-0.1056913
5,37.96411,-1.5292609,-0.1056913
6,38.017212,-1.5185744,-0.1056913
7,38.06989,-1.505978,-0.1056913
8,38.122078,-1.491488,-0.1056913
9,38.173706,-1.4751233,-0.1056913
10,38.224712,-1.4569054,-0.1056913
11,38.27503,-1.4368577,-0.1056913
12,38.32459,-1.4150068,-0.1056913
13,38.373325,-1.3913807,-0.1056913
14,38.42118,-1.3660105,-0.1056913
15,38.468086,-1.3389293,-0.1056913
16,38.513985,-1.3101723,-0.1056913
17,38.558815,-1.279777,-0.1056913
18,38.602516,-1.2477832,-0.1056913
19,38.645035,-1.2142323,-0.1056913
20,38.686317,-1.1791683,-0.1056913
21,38.726303,-1.1426368,-0.1056913
22,38.764946,-1.1046854,-0.1056913
23,38.802197,-1.0653638,-0.1056913
24,38.837997,-1.024723,-0.1056913
25,38.87231,-0.9828161,-0.1056913
26,38.90509,-0.93969774,-0.1056913
27,38.936287,-0.8954242,-0.1056913
28,38.96587,-0.8500531,-0.1056913
29,38.993793,-0.8036436,-0.1056913
