idx,x,y,z
0,50.38757,-3.6637266,-0.2240948
1,50.441723,-3.6627488,-0.2240948
2,50.495808,-3.6598165,-0.2240948
3,50.549747,-3.6549337,-0.2240948
4,50.603477,-3.6481063,-0.2240948
5,50.65693,-3.639344,-0.2240948
6,50.710026,-3.6286576,-0.2240948
7,50.762703,-3.616061,-0.2240948
8,50.81489,-3.601571,-0.2240948
9,50.866524,-3.5852065,-0.2240948
10,50.91753,-3.5669885,-0.2240948
11,50.967846,-3.5469408,-0.2240948
12,51.017403,-3.5250897,-0.2240948
13,51.066143,-3.501464,-0.2240948
14,51.113995,-3.4760938,-0.2240948
15,51.1609,-3.4490125,-0.2240948
16,51.2068,-3.4202554,-0.2240948
17,51.25163,-3.3898602,-0.2240948
18,51.29533,-3.3578663,-0.2240948
19,51.337852,-3.3243155,-0.2240948
20,51.37913,-3.2892513,-0.2240948
21,51.41912,-3.2527199,-0.2240948
22,51.457764,-3.2147686,-0.2240948
23,51.49501,-3.175447,-0.2240948
24,51.530815,-3.1348062,-0.2240948
25,51.565125,-3.0928993,-0.2240948
26,51.597904,-3.0497808,-0.2240948
27,51.629105,-3.0055072,-0.2240948
28,51.658684,-2.9601362,-0.2240948
29,51.686607,-2.9137266,-0.2240948
