idx,x,y,z
0,69.97965,-6.6712747,-0.28782395
1,70.033806,-6.6702967,-0.28782395
2,70.08789,-6.6673646,-0.28782395
3,70.14184,-6.6624813,-0.28782395
4,70.195564,-6.6556544,-0.28782395
5,70.249016,-6.6468916,-0.28782395
6,70.30211,-6.636205,-0.28782395
7,70.35479,-6.623609,-0.28782395
8,70.406975,-6.609119,-0.28782395
9,70.45861,-6.5927544,-0.28782395
10,70.50961,-6.5745363,-0.28782395
11,70.55993,-6.5544887,-0.28782395
12,70.60949,-6.5326376,-0.28782395
13,70.658226,-6.5090117,-0.28782395
14,70.70608,-6.4836416,-0.28782395
15,70.75298,-6.45656,-0.28782395
16,70.79888,-6.4278035,-0.28782395
17,70.84371,-6.397408,-0.28782395
18,70.88742,-6.365414,-0.28782395
19,70.92994,-6.3318634,-0.28782395
20,70.971214,-6.296799,-0.28782395
21,71.01121,-6.2602677,-0.28782395
22,71.04985,-6.2223163,-0.28782395
23,71.0871,-6.182995,-0.28782395
24,71.1229,-6.142354,-0.28782395
25,71.15721,-6.100447,-0.28782395
26,71.18999,-6.0573287,-0.28782395
27,71.22119,-6.0130553,-0.28782395
28,71.25077,-5.967684,-0.28782395
29,71.278694,-5.9212747,-0.28782395
