idx,x,y,z
0,72.64159,-8.951992,-0.36246675
1,72.69574,-8.9510145,-0.36246675
2,72.74982,-8.948082,-0.36246675
3,72.803764,-8.943199,-0.36246675
4,72.85749,-8.936372,-0.36246675
5,72.91094,-8.927609,-0.36246675
6,72.96404,-8.9169235,-0.36246675
7,73.016716,-8.904326,-0.36246675
8,73.06891,-8.889836,-0.36246675
9,73.12054,-8.873472,-0.36246675
10,73.17154,-8.855254,-0.36246675
11,73.221855,-8.835206,-0.36246675
12,73.271416,-8.813355,-0.36246675
13,73.32015,-8.789729,-0.36246675
14,73.36801,-8.764359,-0.36246675
15,73.41492,-8.737278,-0.36246675
16,73.460815,-8.708521,-0.36246675
17,73.505646,-8.678125,-0.36246675
18,73.54935,-8.6461315,-0.36246675
19,73.591866,-8.612581,-0.36246675
20,73.63315,-8.577517,-0.36246675
21,73.673134,-8.540985,-0.36246675
22,73.71178,-8.503035,-0.36246675
23,73.74902,-8.463713,-0.36246675
24,73.78483,-8.423072,-0.36246675
25,73.81914,-8.381165,-0.36246675
26,73.85192,-8.338046,-0.36246675
27,73.88312,-8.293773,-0.36246675
28,73.9127,-8.248402,-0.36246675
29,73.94062,-8.201992,-0.36246675
