idx,x,y,z
0,37.577927,-1.5067632,-0.18061978
1,37.63208,-1.5057853,-0.18061978
2,37.68616,-1.5028532,-0.18061978
3,37.740105,-1.4979702,-0.18061978
4,37.793835,-1.491143,-0.18061978
5,37.847282,-1.4823805,-0.18061978
6,37.90038,-1.4716941,-0.18061978
7,37.953056,-1.4590976,-0.18061978
8,38.005245,-1.4446077,-0.18061978
9,38.056877,-1.428243,-0.18061978
10,38.107883,-1.410025,-0.18061978
11,38.1582,-1.3899775,-0.18061978
12,38.20776,-1.3681264,-0.18061978
13,38.256496,-1.3445004,-0.18061978
14,38.304348,-1.3191303,-0.18061978
15,38.351257,-1.292049,-0.18061978
16,38.397152,-1.2632921,-0.18061978
17,38.441982,-1.2328968,-0.18061978
18,38.485687,-1.2009028,-0.18061978
19,38.528206,-1.167352,-0.18061978
20,38.569485,-1.132288,-0.18061978
21,38.609474,-1.0957565,-0.18061978
22,38.648117,-1.0578052,-0.18061978
23,38.685364,-1.0184835,-0.18061978
24,38.72117,-0.9778427,-0.18061978
25,38.75548,-0.9359358,-0.18061978
26,38.788258,-0.89281744,-0.18061978
27,38.819458,-0.8485439,-0.18061978
28,38.84904,-0.80317277,-0.18061978
29,38.876965,-0.7567633,-0.18061978
