idx,x,y,z
0,64.68447,-5.8453355,-0.24678949
1,64.738625,-5.844358,-0.24678949
2,64.79271,-5.8414254,-0.24678949
3,64.84665,-5.8365426,-0.24678949
4,64.90038,-5.8297153,-0.24678949
5,64.95383,-5.820953,-0.24678949
6,65.00693,-5.8102665,-0.24678949
7,65.05961,-5.79767,-0.24678949
8,65.11179,-5.78318,-0.24678949
9,65.16342,-5.7668157,-0.24678949
10,65.21443,-5.7485976,-0.24678949
11,65.26475,-5.72855,-0.24678949
12,65.31431,-5.706699,-0.24678949
13,65.363045,-5.683073,-0.24678949
14,65.4109,-5.6577024,-0.24678949
15,65.4578,-5.6306214,-0.24678949
16,65.5037,-5.6018643,-0.24678949
17,65.54853,-5.5714693,-0.24678949
18,65.59223,-5.5394754,-0.24678949
19,65.63475,-5.505924,-0.24678949
20,65.67603,-5.4708605,-0.24678949
21,65.71602,-5.434329,-0.24678949
22,65.75466,-5.3963776,-0.24678949
23,65.79191,-5.3570557,-0.24678949
24,65.82771,-5.3164153,-0.24678949
25,65.86203,-5.274508,-0.24678949
26,65.894806,-5.23139,-0.24678949
27,65.926,-5.187116,-0.24678949
28,65.95559,-5.141745,-0.24678949
29,65.98351,-5.0953355,-0.24678949
