idx,x,y,z
0,37.629673,-1.4989133,-0.28645816
1,37.683826,-1.4979354,-0.28645816
2,37.737907,-1.4950031,-0.28645816
3,37.79185,-1.4901202,-0.28645816
4,37.84558,-1.483293,-0.28645816
5,37.89903,-1.4745306,-0.28645816
6,37.95213,-1.4638441,-0.28645816
7,38.004807,-1.4512477,-0.28645816
8,38.05699,-1.4367577,-0.28645816
9,38.108624,-1.420393,-0.28645816
10,38.15963,-1.4021751,-0.28645816
11,38.209946,-1.3821274,-0.28645816
12,38.259506,-1.3602763,-0.28645816
13,38.308243,-1.3366504,-0.28645816
14,38.3561,-1.3112803,-0.28645816
15,38.403004,-1.284199,-0.28645816
16,38.448902,-1.255442,-0.28645816
17,38.49373,-1.2250468,-0.28645816
18,38.537434,-1.1930529,-0.28645816
19,38.579952,-1.159502,-0.28645816
20,38.621235,-1.124438,-0.28645816
21,38.66122,-1.0879065,-0.28645816
22,38.699863,-1.0499551,-0.28645816
23,38.73711,-1.0106335,-0.28645816
24,38.772915,-0.9699927,-0.28645816
25,38.807228,-0.9280858,-0.28645816
26,38.840004,-0.88496745,-0.28645816
27,38.871204,-0.84069383,-0.28645816
28,38.900787,-0.7953227,-0.28645816
29,38.92871,-0.7489133,-0.28645816
