step,lateral_err,orientation_err,speed_fwd,speed_lat,angular_vel,norm_rf
0,-0.000029,-0.400658,0.000492,-0.002022,-0.000294,0.123795
1,0.444647,-0.530311,0.014096,0.035575,-0.001752,0.123795
2,0.597097,-0.251423,-0.003627,0.013186,0.021005,0.123795
3,0.612059,-0.643323,0.024499,-0.004043,-0.002451,0.123795
4,0.578916,-0.957809,0.026793,-0.007762,0.000910,0.123795
5,0.454935,-1.302829,0.020515,-0.011933,-0.007139,0.123795
