idx,x,y,z
0,53.588245,-4.204485,-0.21671377
1,53.6424,-4.203507,-0.21671377
2,53.69648,-4.200575,-0.21671377
3,53.750423,-4.195692,-0.21671377
4,53.804153,-4.1888647,-0.21671377
5,53.8576,-4.1801023,-0.21671377
6,53.9107,-4.169416,-0.21671377
7,53.96338,-4.1568193,-0.21671377
8,54.015564,-4.142329,-0.21671377
9,54.067196,-4.1259646,-0.21671377
10,54.118202,-4.1077466,-0.21671377
11,54.168518,-4.087699,-0.21671377
12,54.21808,-4.065848,-0.21671377
13,54.266815,-4.042222,-0.21671377
14,54.31467,-4.016852,-0.21671377
15,54.361576,-3.9897707,-0.21671377
16,54.407475,-3.9610138,-0.21671377
17,54.4523,-3.9306185,-0.21671377
18,54.496006,-3.8986244,-0.21671377
19,54.538525,-3.8650737,-0.21671377
20,54.579807,-3.8300097,-0.21671377
21,54.619793,-3.7934783,-0.21671377
22,54.658436,-3.7555268,-0.21671377
23,54.695683,-3.7162051,-0.21671377
24,54.731487,-3.6755643,-0.21671377
25,54.7658,-3.6336575,-0.21671377
26,54.79858,-3.5905392,-0.21671377
27,54.829777,-3.5462656,-0.21671377
28,54.85936,-3.5008943,-0.21671377
29,54.887283,-3.454485,-0.21671377
