idx,x,y,z
0,63.576138,-5.91675,-0.19406231
1,63.63029,-5.9157724,-0.19406231
2,63.684376,-5.91284,-0.19406231
3,63.73832,-5.907957,-0.19406231
4,63.79205,-5.9011297,-0.19406231
5,63.845497,-5.8923674,-0.19406231
6,63.898594,-5.881681,-0.19406231
7,63.95127,-5.8690844,-0.19406231
8,64.00346,-5.8545947,-0.19406231
9,64.05509,-5.8382297,-0.19406231
10,64.106094,-5.820012,-0.19406231
11,64.15641,-5.7999644,-0.19406231
12,64.20597,-5.7781134,-0.19406231
13,64.25471,-5.754487,-0.19406231
14,64.30257,-5.729117,-0.19406231
15,64.34947,-5.702036,-0.19406231
16,64.39537,-5.673279,-0.19406231
17,64.4402,-5.642884,-0.19406231
18,64.4839,-5.61089,-0.19406231
19,64.52642,-5.5773387,-0.19406231
20,64.5677,-5.542275,-0.19406231
21,64.60769,-5.5057435,-0.19406231
22,64.64633,-5.467792,-0.19406231
23,64.68358,-5.42847,-0.19406231
24,64.71938,-5.38783,-0.19406231
25,64.75369,-5.3459225,-0.19406231
26,64.786476,-5.3028045,-0.19406231
27,64.81767,-5.2585306,-0.19406231
28,64.84725,-5.2131596,-0.19406231
29,64.875175,-5.16675,-0.19406231
