step,lateral_err,orientation_err,speed_fwd,speed_lat,angular_vel,norm_rf
0,0.000016,-0.572104,-0.004218,0.000940,0.003737,0.195560
1,0.334902,-0.547501,0.011002,0.027254,0.008019,0.195560
2,0.374796,-0.595399,0.017920,0.000932,0.012956,0.195560
3,0.397178,-0.616748,0.018398,-0.000665,0.016095,0.195560
4,0.395881,-0.625050,0.013360,-0.001023,0.008665,0.195560
5,0.354851,-0.518014,0.011543,-0.004614,0.021959,0.195560
6,0.243128,-0.487447,0.021882,-0.012685,0.021676,0.195560
7,0.120861,-0.335484,0.023668,-0.010179,0.015440,0.195560
