idx,x,y,z
0,65.86361,-5.879837,-0.24429978
1,65.91776,-5.878859,-0.24429978
2,65.97184,-5.875927,-0.24429978
3,66.02579,-5.871044,-0.24429978
4,66.07951,-5.864217,-0.24429978
5,66.132965,-5.8554544,-0.24429978
6,66.186066,-5.844768,-0.24429978
7,66.23874,-5.8321714,-0.24429978
8,66.29093,-5.8176813,-0.24429978
9,66.34256,-5.8013167,-0.24429978
10,66.39356,-5.7830987,-0.24429978
11,66.44388,-5.763051,-0.24429978
12,66.49344,-5.7412004,-0.24429978
13,66.542175,-5.717574,-0.24429978
14,66.590034,-5.692204,-0.24429978
15,66.63694,-5.665123,-0.24429978
16,66.68284,-5.636366,-0.24429978
17,66.72767,-5.6059704,-0.24429978
18,66.77137,-5.5739765,-0.24429978
19,66.81389,-5.540426,-0.24429978
20,66.85517,-5.505362,-0.24429978
21,66.89516,-5.46883,-0.24429978
22,66.9338,-5.430879,-0.24429978
23,66.97105,-5.391557,-0.24429978
24,67.00685,-5.3509164,-0.24429978
25,67.04116,-5.3090096,-0.24429978
26,67.073944,-5.265891,-0.24429978
27,67.10514,-5.2216177,-0.24429978
28,67.13472,-5.1762466,-0.24429978
29,67.16264,-5.129837,-0.24429978
