idx,x,y,z
0,72.763664,-8.778955,-0.37093613
1,72.81782,-8.777978,-0.37093613
2,72.8719,-8.775045,-0.37093613
3,72.92584,-8.770163,-0.37093613
4,72.979576,-8.763335,-0.37093613
5,73.03303,-8.754573,-0.37093613
6,73.08612,-8.743887,-0.37093613
7,73.1388,-8.73129,-0.37093613
8,73.19099,-8.716801,-0.37093613
9,73.24262,-8.700436,-0.37093613
10,73.293625,-8.682218,-0.37093613
11,73.34394,-8.66217,-0.37093613
12,73.3935,-8.640319,-0.37093613
13,73.44224,-8.6166935,-0.37093613
14,73.49009,-8.591323,-0.37093613
15,73.536995,-8.564241,-0.37093613
16,73.58289,-8.535484,-0.37093613
17,73.62772,-8.50509,-0.37093613
18,73.671425,-8.473096,-0.37093613
19,73.71395,-8.439545,-0.37093613
20,73.755226,-8.404481,-0.37093613
21,73.79522,-8.3679495,-0.37093613
22,73.83386,-8.329998,-0.37093613
23,73.87111,-8.290676,-0.37093613
24,73.906906,-8.250035,-0.37093613
25,73.94122,-8.208128,-0.37093613
26,73.974,-8.16501,-0.37093613
27,74.0052,-8.120736,-0.37093613
28,74.03478,-8.075365,-0.37093613
29,74.062706,-8.028955,-0.37093613
