idx,x,y,z
0,70.16596,-6.533667,-0.29747513
1,70.220116,-6.5326896,-0.29747513
2,70.2742,-6.529757,-0.29747513
3,70.32814,-6.524874,-0.29747513
4,70.381874,-6.518047,-0.29747513
5,70.435326,-6.5092845,-0.29747513
6,70.48842,-6.498598,-0.29747513
7,70.5411,-6.4860015,-0.29747513
8,70.593285,-6.471512,-0.29747513
9,70.64492,-6.455147,-0.29747513
10,70.69592,-6.4369287,-0.29747513
11,70.74624,-6.4168816,-0.29747513
12,70.7958,-6.3950305,-0.29747513
13,70.844536,-6.371404,-0.29747513
14,70.89239,-6.346034,-0.29747513
15,70.93929,-6.318953,-0.29747513
16,70.98519,-6.290196,-0.29747513
17,71.03002,-6.259801,-0.29747513
18,71.07372,-6.227807,-0.29747513
19,71.11625,-6.194256,-0.29747513
20,71.157524,-6.159192,-0.29747513
21,71.19752,-6.1226606,-0.29747513
22,71.23616,-6.084709,-0.29747513
23,71.27341,-6.0453873,-0.29747513
24,71.30921,-6.0047464,-0.29747513
25,71.34352,-5.9628396,-0.29747513
26,71.3763,-5.9197216,-0.29747513
27,71.4075,-5.8754478,-0.29747513
28,71.43708,-5.8300767,-0.29747513
29,71.465004,-5.783667,-0.29747513
