idx,x,y,z
0,34.426884,-1.2070773,-0.13687105
1,34.481037,-1.2060994,-0.13687105
2,34.535122,-1.2031672,-0.13687105
3,34.58906,-1.1982843,-0.13687105
4,34.642796,-1.191457,-0.13687105
5,34.696243,-1.1826946,-0.13687105
6,34.74934,-1.1720082,-0.13687105
7,34.802017,-1.1594117,-0.13687105
8,34.854206,-1.1449218,-0.13687105
9,34.905838,-1.1285571,-0.13687105
10,34.956844,-1.110339,-0.13687105
11,35.00716,-1.0902915,-0.13687105
12,35.056717,-1.0684404,-0.13687105
13,35.105457,-1.0448145,-0.13687105
14,35.15331,-1.0194443,-0.13687105
15,35.200214,-0.99236304,-0.13687105
16,35.246113,-0.96360606,-0.13687105
17,35.290943,-0.9332108,-0.13687105
18,35.33465,-0.9012169,-0.13687105
19,35.377167,-0.86766607,-0.13687105
20,35.418446,-0.832602,-0.13687105
21,35.458435,-0.7960705,-0.13687105
22,35.497078,-0.7581192,-0.13687105
23,35.534325,-0.7187975,-0.13687105
24,35.57013,-0.67815673,-0.13687105
25,35.604443,-0.63624984,-0.13687105
26,35.63722,-0.5931315,-0.13687105
27,35.66842,-0.5488579,-0.13687105
28,35.697998,-0.5034868,-0.13687105
29,35.72592,-0.4570773,-0.13687105
