idx,x,y,z
0,60.30002,-5.348451,-0.19154495
1,60.35417,-5.347473,-0.19154495
2,60.408257,-5.344541,-0.19154495
3,60.462196,-5.339658,-0.19154495
4,60.515926,-5.332831,-0.19154495
5,60.569378,-5.324068,-0.19154495
6,60.622475,-5.3133817,-0.19154495
7,60.67515,-5.3007855,-0.19154495
8,60.72734,-5.2862954,-0.19154495
9,60.77897,-5.269931,-0.19154495
10,60.82998,-5.251713,-0.19154495
11,60.880295,-5.231665,-0.19154495
12,60.92985,-5.209814,-0.19154495
13,60.97859,-5.186188,-0.19154495
14,61.026443,-5.160818,-0.19154495
15,61.07335,-5.1337366,-0.19154495
16,61.119247,-5.10498,-0.19154495
17,61.164078,-5.0745845,-0.19154495
18,61.20778,-5.0425906,-0.19154495
19,61.250298,-5.00904,-0.19154495
20,61.29158,-4.9739757,-0.19154495
21,61.331566,-4.937444,-0.19154495
22,61.37021,-4.8994927,-0.19154495
23,61.40746,-4.8601713,-0.19154495
24,61.44326,-4.8195305,-0.19154495
25,61.477573,-4.7776237,-0.19154495
26,61.510353,-4.734505,-0.19154495
27,61.541553,-4.690232,-0.19154495
28,61.571133,-4.6448607,-0.19154495
29,61.599056,-4.598451,-0.19154495
