step,lateral_err,orientation_err,speed_fwd,speed_lat,angular_vel,norm_rf
0,-0.000015,-0.424080,0.003531,-0.002131,0.002406,0.205926
1,0.310935,-0.512395,0.008338,0.023998,-0.001265,0.205926
2,0.364536,-0.562914,0.027268,0.000710,0.016939,0.205926
3,0.406073,-0.591070,0.026831,-0.001481,0.024569,0.205926
4,0.490127,-0.533234,0.000264,0.007348,0.005056,0.205926
5,0.590943,-0.516165,0.001759,0.007762,0.001314,0.205926
6,0.427074,-0.853742,0.021159,-0.017597,-0.004177,0.205926
7,0.319070,-0.792825,0.008466,-0.009867,0.011677,0.205926
