idx,x,y,z
0,66.00713,-5.927358,-0.26927418
1,66.06129,-5.92638,-0.26927418
2,66.11537,-5.923448,-0.26927418
3,66.16931,-5.918565,-0.26927418
4,66.223045,-5.911738,-0.26927418
5,66.2765,-5.9029756,-0.26927418
6,66.32959,-5.8922887,-0.26927418
7,66.38227,-5.8796926,-0.26927418
8,66.434456,-5.8652024,-0.26927418
9,66.48609,-5.848838,-0.26927418
10,66.537094,-5.83062,-0.26927418
11,66.58741,-5.810572,-0.26927418
12,66.63697,-5.788721,-0.26927418
13,66.68571,-5.765095,-0.26927418
14,66.73356,-5.739725,-0.26927418
15,66.780464,-5.7126436,-0.26927418
16,66.82636,-5.683887,-0.26927418
17,66.87119,-5.6534915,-0.26927418
18,66.914894,-5.6214976,-0.26927418
19,66.95742,-5.587947,-0.26927418
20,66.998695,-5.5528827,-0.26927418
21,67.03869,-5.516351,-0.26927418
22,67.07733,-5.4783998,-0.26927418
23,67.11458,-5.4390783,-0.26927418
24,67.15038,-5.3984375,-0.26927418
25,67.18469,-5.3565307,-0.26927418
26,67.21747,-5.313412,-0.26927418
27,67.24867,-5.269139,-0.26927418
28,67.27825,-5.2237678,-0.26927418
29,67.306175,-5.177358,-0.26927418
