idx,x,y,z
0,64.64027,-5.8917866,-0.23691034
1,64.69442,-5.8908086,-0.23691034
2,64.748505,-5.8878765,-0.23691034
3,64.802444,-5.8829937,-0.23691034
4,64.85618,-5.8761663,-0.23691034
5,64.90963,-5.867404,-0.23691034
6,64.96272,-5.8567176,-0.23691034
7,65.0154,-5.844121,-0.23691034
8,65.06759,-5.8296313,-0.23691034
9,65.11922,-5.8132663,-0.23691034
10,65.17023,-5.795048,-0.23691034
11,65.22054,-5.775001,-0.23691034
12,65.2701,-5.75315,-0.23691034
13,65.31884,-5.7295237,-0.23691034
14,65.36669,-5.7041535,-0.23691034
15,65.4136,-5.6770725,-0.23691034
16,65.459496,-5.6483154,-0.23691034
17,65.504326,-5.6179204,-0.23691034
18,65.54803,-5.585926,-0.23691034
19,65.590546,-5.5523753,-0.23691034
20,65.63183,-5.5173116,-0.23691034
21,65.671814,-5.48078,-0.23691034
22,65.71046,-5.4428287,-0.23691034
23,65.74771,-5.4035068,-0.23691034
24,65.78351,-5.362866,-0.23691034
25,65.817825,-5.320959,-0.23691034
26,65.8506,-5.277841,-0.23691034
27,65.881805,-5.233567,-0.23691034
28,65.911385,-5.188196,-0.23691034
29,65.93931,-5.1417866,-0.23691034
