step,x,y,yaw
0,64.64073563120378,-5.892055855259775,-0.5407186159467298
1,64.7210548247696,-5.593270672306411,-0.43970272375803376
2,64.92712133388393,-5.576283151645339,-0.2173753986051043
3,64.93645344616351,-5.509093886353661,-0.17476831823521966
4,65.19432122908043,-5.294216822401435,-0.001901637823940163
5,65.46809333868482,-5.158901727392511,0.10643228156143844
6,65.42928557517767,-5.10955646720967,0.11991865707368812
7,65.61949034988756,-5.068839081167394,0.25237750292799666
8,65.95512625107007,-4.778556403192512,0.319050038918754
