step,lateral_err,orientation_err,speed_fwd,speed_lat,angular_vel,norm_rf
0,-0.000278,-0.558776,0.000206,-0.001559,-0.003211,0.221261
1,0.295881,-0.529980,0.008849,0.024027,0.008360,0.221261
2,0.281693,-0.488212,0.016971,-0.003239,0.018577,0.221261
3,0.343937,-0.445605,0.002237,0.005163,0.003534,0.221261
4,0.440858,-0.561606,0.028368,0.003853,0.014744,0.221261
5,0.371505,-0.742249,0.023032,-0.009457,0.008832,0.221261
6,0.433243,-0.728763,0.000986,0.005352,0.001169,0.221261
7,0.309704,-0.740682,0.011327,-0.011254,0.010873,0.221261
8,0.173710,-0.710095,0.036570,-0.011960,0.005781,0.221261
