idx,x,y,z
0,43.988087,-2.4995596,-0.20030195
1,44.042244,-2.498582,-0.20030195
2,44.096325,-2.4956496,-0.20030195
3,44.15027,-2.4907665,-0.20030195
4,44.204,-2.4839394,-0.20030195
5,44.257446,-2.475177,-0.20030195
6,44.310543,-2.4644904,-0.20030195
7,44.36322,-2.451894,-0.20030195
8,44.41541,-2.4374042,-0.20030195
9,44.46704,-2.4210393,-0.20030195
10,44.518047,-2.4028215,-0.20030195
11,44.568363,-2.3827739,-0.20030195
12,44.617924,-2.3609228,-0.20030195
13,44.66666,-2.3372967,-0.20030195
14,44.71451,-2.3119266,-0.20030195
15,44.761417,-2.2848454,-0.20030195
16,44.807316,-2.2560885,-0.20030195
17,44.852146,-2.2256932,-0.20030195
18,44.89585,-2.1936994,-0.20030195
19,44.93837,-2.1601484,-0.20030195
20,44.97965,-2.1250844,-0.20030195
21,45.019638,-2.088553,-0.20030195
22,45.05828,-2.0506015,-0.20030195
23,45.095528,-2.0112798,-0.20030195
24,45.131332,-1.9706391,-0.20030195
25,45.165646,-1.9287323,-0.20030195
26,45.19842,-1.8856139,-0.20030195
27,45.22962,-1.8413403,-0.20030195
28,45.2592,-1.7959691,-0.20030195
29,45.28713,-1.7495596,-0.20030195
