idx,x,y,z
0,34.462414,-1.258484,-0.17116562
1,34.516567,-1.2575063,-0.17116562
2,34.57065,-1.254574,-0.17116562
3,34.62459,-1.249691,-0.17116562
4,34.67832,-1.2428639,-0.17116562
5,34.73177,-1.2341013,-0.17116562
6,34.78487,-1.2234149,-0.17116562
7,34.837547,-1.2108185,-0.17116562
8,34.889736,-1.1963285,-0.17116562
9,34.941364,-1.1799638,-0.17116562
10,34.99237,-1.1617458,-0.17116562
11,35.042686,-1.1416982,-0.17116562
12,35.092247,-1.1198472,-0.17116562
13,35.140984,-1.0962212,-0.17116562
14,35.18884,-1.0708511,-0.17116562
15,35.235744,-1.0437698,-0.17116562
16,35.281643,-1.0150129,-0.17116562
17,35.326473,-0.9846176,-0.17116562
18,35.370174,-0.95262367,-0.17116562
19,35.412693,-0.9190728,-0.17116562
20,35.453976,-0.8840088,-0.17116562
21,35.49396,-0.8474773,-0.17116562
22,35.532604,-0.80952597,-0.17116562
23,35.569855,-0.77020425,-0.17116562
24,35.605656,-0.7295635,-0.17116562
25,35.63997,-0.6876566,-0.17116562
26,35.67275,-0.6445383,-0.17116562
27,35.703945,-0.60026467,-0.17116562
28,35.73353,-0.55489355,-0.17116562
29,35.76145,-0.50848407,-0.17116562
