idx,x,y,z
0,40.357994,-1.853185,-0.29312074
1,40.412148,-1.8522072,-0.29312074
2,40.466232,-1.8492749,-0.29312074
3,40.520172,-1.8443921,-0.29312074
4,40.573902,-1.8375648,-0.29312074
5,40.627354,-1.8288023,-0.29312074
6,40.68045,-1.818116,-0.29312074
7,40.733128,-1.8055195,-0.29312074
8,40.785316,-1.7910295,-0.29312074
9,40.83695,-1.7746649,-0.29312074
10,40.887955,-1.7564468,-0.29312074
11,40.93827,-1.7363993,-0.29312074
12,40.987827,-1.7145482,-0.29312074
13,41.036568,-1.6909223,-0.29312074
14,41.08442,-1.665552,-0.29312074
15,41.131325,-1.6384709,-0.29312074
16,41.177223,-1.6097138,-0.29312074
17,41.222054,-1.5793185,-0.29312074
18,41.265755,-1.5473247,-0.29312074
19,41.308277,-1.5137738,-0.29312074
20,41.349556,-1.4787098,-0.29312074
21,41.389545,-1.4421782,-0.29312074
22,41.42819,-1.404227,-0.29312074
23,41.465435,-1.3649052,-0.29312074
24,41.50124,-1.3242645,-0.29312074
25,41.535553,-1.2823576,-0.29312074
26,41.56833,-1.2392392,-0.29312074
27,41.59953,-1.1949657,-0.29312074
28,41.62911,-1.1495945,-0.29312074
29,41.657032,-1.103185,-0.29312074
