idx,x,y,z
0,37.325363,-1.3181744,-0.22904302
1,37.379517,-1.3171965,-0.22904302
2,37.4336,-1.3142643,-0.22904302
3,37.48754,-1.3093814,-0.22904302
4,37.54127,-1.3025541,-0.22904302
5,37.594723,-1.2937917,-0.22904302
6,37.64782,-1.2831053,-0.22904302
7,37.700497,-1.2705088,-0.22904302
8,37.752686,-1.2560189,-0.22904302
9,37.804317,-1.2396542,-0.22904302
10,37.855324,-1.2214361,-0.22904302
11,37.90564,-1.2013886,-0.22904302
12,37.955196,-1.1795375,-0.22904302
13,38.003937,-1.1559116,-0.22904302
14,38.05179,-1.1305414,-0.22904302
15,38.098694,-1.1034602,-0.22904302
16,38.144592,-1.0747032,-0.22904302
17,38.189423,-1.044308,-0.22904302
18,38.233124,-1.012314,-0.22904302
19,38.275646,-0.97876316,-0.22904302
20,38.316925,-0.9436991,-0.22904302
21,38.356915,-0.9071676,-0.22904302
22,38.395554,-0.8692163,-0.22904302
23,38.432804,-0.8298946,-0.22904302
24,38.468605,-0.78925383,-0.22904302
25,38.50292,-0.74734694,-0.22904302
26,38.535698,-0.7042286,-0.22904302
27,38.5669,-0.659955,-0.22904302
28,38.596478,-0.61458385,-0.22904302
29,38.6244,-0.5681744,-0.22904302
