idx,x,y,z
0,56.973232,-4.6877503,-0.21290757
1,57.027386,-4.6867723,-0.21290757
2,57.08147,-4.68384,-0.21290757
3,57.13541,-4.678957,-0.21290757
4,57.18914,-4.67213,-0.21290757
5,57.24259,-4.6633673,-0.21290757
6,57.29569,-4.652681,-0.21290757
7,57.348366,-4.6400847,-0.21290757
8,57.400555,-4.6255946,-0.21290757
9,57.452187,-4.60923,-0.21290757
10,57.503193,-4.591012,-0.21290757
11,57.55351,-4.5709643,-0.21290757
12,57.603065,-4.5491133,-0.21290757
13,57.651806,-4.5254874,-0.21290757
14,57.699657,-4.5001173,-0.21290757
15,57.746563,-4.473036,-0.21290757
16,57.79246,-4.4442787,-0.21290757
17,57.83729,-4.4138837,-0.21290757
18,57.880993,-4.38189,-0.21290757
19,57.923515,-4.348339,-0.21290757
20,57.964794,-4.313275,-0.21290757
21,58.004784,-4.2767434,-0.21290757
22,58.043427,-4.238792,-0.21290757
23,58.080673,-4.1994705,-0.21290757
24,58.116474,-4.1588297,-0.21290757
25,58.150787,-4.116923,-0.21290757
26,58.183567,-4.0738044,-0.21290757
27,58.214767,-4.0295305,-0.21290757
28,58.244347,-3.9841597,-0.21290757
29,58.27227,-3.93775,-0.21290757
