idx,x,y,z
0,69.81572,-7.7356086,-0.35095152
1,69.86987,-7.7346306,-0.35095152
2,69.92395,-7.7316985,-0.35095152
3,69.9779,-7.726815,-0.35095152
4,70.031624,-7.7199883,-0.35095152
5,70.085075,-7.7112255,-0.35095152
6,70.13817,-7.700539,-0.35095152
7,70.19085,-7.687943,-0.35095152
8,70.243034,-7.673453,-0.35095152
9,70.29467,-7.6570883,-0.35095152
10,70.34567,-7.6388702,-0.35095152
11,70.39599,-7.6188226,-0.35095152
12,70.44555,-7.5969715,-0.35095152
13,70.494286,-7.5733457,-0.35095152
14,70.542145,-7.5479755,-0.35095152
15,70.58905,-7.520894,-0.35095152
16,70.63495,-7.4921374,-0.35095152
17,70.67977,-7.461742,-0.35095152
18,70.72348,-7.429748,-0.35095152
19,70.766,-7.3961973,-0.35095152
20,70.80728,-7.361133,-0.35095152
21,70.84727,-7.3246017,-0.35095152
22,70.88591,-7.28665,-0.35095152
23,70.92316,-7.2473288,-0.35095152
24,70.95896,-7.206688,-0.35095152
25,70.99327,-7.164781,-0.35095152
26,71.02605,-7.1216626,-0.35095152
27,71.05725,-7.0773892,-0.35095152
28,71.08683,-7.032018,-0.35095152
29,71.11475,-6.9856086,-0.35095152
