idx,x,y,z
0,71.03108,6.45017,-0.43218017
1,71.085236,6.451148,-0.43218017
2,71.13931,6.45408,-0.43218017
3,71.19326,6.458963,-0.43218017
4,71.24699,6.4657903,-0.43218017
5,71.30044,6.4745526,-0.43218017
6,71.35354,6.485239,-0.43218017
7,71.40621,6.4978356,-0.43218017
8,71.4584,6.512326,-0.43218017
9,71.51003,6.5286903,-0.43218017
10,71.561035,6.5469084,-0.43218017
11,71.61135,6.566956,-0.43218017
12,71.66091,6.5888066,-0.43218017
13,71.70965,6.612433,-0.43218017
14,71.75751,6.637803,-0.43218017
15,71.80441,6.664884,-0.43218017
16,71.85031,6.693641,-0.43218017
17,71.895134,6.7240367,-0.43218017
18,71.93884,6.7560306,-0.43218017
19,71.98136,6.7895813,-0.43218017
20,72.022644,6.824645,-0.43218017
21,72.06263,6.861177,-0.43218017
22,72.10127,6.899128,-0.43218017
23,72.13852,6.93845,-0.43218017
24,72.174324,6.9790907,-0.43218017
25,72.20863,7.0209975,-0.43218017
26,72.24142,7.064116,-0.43218017
27,72.27261,7.1083894,-0.43218017
28,72.30219,7.1537604,-0.43218017
29,72.33012,7.20017,-0.43218017
