idx,x,y,z
0,31.446085,-0.649725,0.1645339
1,31.500238,-0.64874715,0.1645339
2,31.554323,-0.64581484,0.1645339
3,31.608265,-0.64093196,0.1645339
4,31.661995,-0.6341048,0.1645339
5,31.715445,-0.62534225,0.1645339
6,31.768541,-0.61465585,0.1645339
7,31.821218,-0.6020594,0.1645339
8,31.873407,-0.5875694,0.1645339
9,31.925037,-0.5712048,0.1645339
10,31.976044,-0.55298674,0.1645339
11,32.02636,-0.5329392,0.1645339
12,32.07592,-0.51108813,0.1645339
13,32.124657,-0.48746213,0.1645339
14,32.172512,-0.46209198,0.1645339
15,32.219418,-0.43501076,0.1645339
16,32.265316,-0.40625378,0.1645339
17,32.310143,-0.37585852,0.1645339
18,32.353848,-0.3438646,0.1645339
19,32.396366,-0.31031376,0.1645339
20,32.43765,-0.27524975,0.1645339
21,32.477634,-0.23871824,0.1645339
22,32.516277,-0.2007669,0.1645339
23,32.553524,-0.16144522,0.1645339
24,32.58933,-0.12080443,0.1645339
25,32.623642,-0.07889754,0.1645339
26,32.656418,-0.035779197,0.1645339
27,32.68762,0.008494399,0.1645339
28,32.7172,0.053865515,0.1645339
29,32.745125,0.100274995,0.1645339
