idx,x,y,z
0,69.53662,-6.9924636,-0.338708
1,69.590775,-6.991486,-0.338708
2,69.64486,-6.9885535,-0.338708
3,69.6988,-6.9836707,-0.338708
4,69.75253,-6.9768434,-0.338708
5,69.805984,-6.968081,-0.338708
6,69.85908,-6.9573946,-0.338708
7,69.91176,-6.944798,-0.338708
8,69.96394,-6.9303083,-0.338708
9,70.01557,-6.913944,-0.338708
10,70.06658,-6.8957257,-0.338708
11,70.1169,-6.875678,-0.338708
12,70.16646,-6.853827,-0.338708
13,70.215195,-6.830201,-0.338708
14,70.26305,-6.8048306,-0.338708
15,70.30995,-6.7777495,-0.338708
16,70.35585,-6.7489924,-0.338708
17,70.40068,-6.7185974,-0.338708
18,70.44438,-6.6866035,-0.338708
19,70.4869,-6.6530523,-0.338708
20,70.52818,-6.6179886,-0.338708
21,70.56817,-6.581457,-0.338708
22,70.60681,-6.5435057,-0.338708
23,70.644066,-6.5041842,-0.338708
24,70.67986,-6.4635434,-0.338708
25,70.71418,-6.421636,-0.338708
26,70.746956,-6.378518,-0.338708
27,70.77816,-6.3342443,-0.338708
28,70.80774,-6.288873,-0.338708
29,70.83566,-6.2424636,-0.338708
