idx,x,y,z
0,37.41814,-1.4025351,-0.21367154
1,37.472294,-1.4015572,-0.21367154
2,37.52638,-1.3986249,-0.21367154
3,37.58032,-1.3937421,-0.21367154
4,37.634052,-1.3869148,-0.21367154
5,37.6875,-1.3781524,-0.21367154
6,37.740597,-1.367466,-0.21367154
7,37.793274,-1.3548695,-0.21367154
8,37.845463,-1.3403795,-0.21367154
9,37.897095,-1.3240149,-0.21367154
10,37.9481,-1.3057969,-0.21367154
11,37.998417,-1.2857493,-0.21367154
12,38.047974,-1.2638983,-0.21367154
13,38.096714,-1.2402723,-0.21367154
14,38.144566,-1.214902,-0.21367154
15,38.19147,-1.1878209,-0.21367154
16,38.23737,-1.1590638,-0.21367154
17,38.2822,-1.1286685,-0.21367154
18,38.325905,-1.0966747,-0.21367154
19,38.368423,-1.0631238,-0.21367154
20,38.409702,-1.0280598,-0.21367154
21,38.44969,-0.99152833,-0.21367154
22,38.488335,-0.953577,-0.21367154
23,38.52558,-0.9142553,-0.21367154
24,38.561386,-0.87361455,-0.21367154
25,38.5957,-0.83170766,-0.21367154
26,38.628475,-0.7885893,-0.21367154
27,38.659676,-0.7443157,-0.21367154
28,38.689255,-0.69894457,-0.21367154
29,38.71718,-0.6525351,-0.21367154
