step,lateral_err,orientation_err,speed_fwd,speed_lat,angular_vel,norm_rf
0,0.000173,-0.561846,-0.048653,0.018405,-0.000390,0.124651
1,0.425476,-0.607818,0.024422,0.034596,0.011758,0.124651
2,0.468446,-1.086369,0.037756,-0.004136,-0.007131,0.124651
3,0.415619,-1.418062,0.057350,-0.012844,0.008802,0.124651
