idx,x,y,z
0,63.537304,-5.9078126,-0.19418037
1,63.591457,-5.906835,-0.19418037
2,63.645542,-5.9039025,-0.19418037
3,63.699482,-5.8990197,-0.19418037
4,63.753212,-5.8921924,-0.19418037
5,63.806664,-5.88343,-0.19418037
6,63.85976,-5.8727436,-0.19418037
7,63.912437,-5.860147,-0.19418037
8,63.964626,-5.8456573,-0.19418037
9,64.01626,-5.8292923,-0.19418037
10,64.06726,-5.8110743,-0.19418037
11,64.11758,-5.791027,-0.19418037
12,64.16714,-5.769176,-0.19418037
13,64.21587,-5.7455497,-0.19418037
14,64.26373,-5.7201796,-0.19418037
15,64.31064,-5.6930985,-0.19418037
16,64.35653,-5.6643414,-0.19418037
17,64.40136,-5.6339464,-0.19418037
18,64.44507,-5.6019526,-0.19418037
19,64.48759,-5.5684013,-0.19418037
20,64.52887,-5.5333376,-0.19418037
21,64.568855,-5.496806,-0.19418037
22,64.6075,-5.4588547,-0.19418037
23,64.644745,-5.419533,-0.19418037
24,64.68055,-5.378892,-0.19418037
25,64.71486,-5.336985,-0.19418037
26,64.747635,-5.293867,-0.19418037
27,64.77884,-5.2495933,-0.19418037
28,64.80842,-5.204222,-0.19418037
29,64.83634,-5.1578126,-0.19418037
