idx,x,y,z
0,47.100662,-3.1843388,-0.20141317
1,47.154816,-3.1833608,-0.20141317
2,47.2089,-3.1804285,-0.20141317
3,47.26284,-3.1755457,-0.20141317
4,47.31657,-3.1687186,-0.20141317
5,47.37002,-3.159956,-0.20141317
6,47.42312,-3.1492696,-0.20141317
7,47.475796,-3.1366732,-0.20141317
8,47.527985,-3.122183,-0.20141317
9,47.579613,-3.1058185,-0.20141317
10,47.630623,-3.0876005,-0.20141317
11,47.680935,-3.067553,-0.20141317
12,47.730495,-3.045702,-0.20141317
13,47.779232,-3.022076,-0.20141317
14,47.827087,-2.9967058,-0.20141317
15,47.873993,-2.9696245,-0.20141317
16,47.91989,-2.9408674,-0.20141317
17,47.96472,-2.9104722,-0.20141317
18,48.008423,-2.8784783,-0.20141317
19,48.05094,-2.8449275,-0.20141317
20,48.092224,-2.8098636,-0.20141317
21,48.13221,-2.7733319,-0.20141317
22,48.170853,-2.7353806,-0.20141317
23,48.208103,-2.696059,-0.20141317
24,48.243904,-2.6554182,-0.20141317
25,48.278217,-2.6135113,-0.20141317
26,48.310997,-2.5703928,-0.20141317
27,48.342197,-2.5261195,-0.20141317
28,48.371777,-2.4807482,-0.20141317
29,48.3997,-2.4343388,-0.20141317
