idx,x,y,z
0,37.48299,-1.4617453,-0.24791735
1,37.537144,-1.4607674,-0.24791735
2,37.591225,-1.4578351,-0.24791735
3,37.64517,-1.4529521,-0.24791735
4,37.6989,-1.446125,-0.24791735
5,37.752346,-1.4373624,-0.24791735
6,37.805443,-1.426676,-0.24791735
7,37.85812,-1.4140797,-0.24791735
8,37.91031,-1.3995897,-0.24791735
9,37.96194,-1.383225,-0.24791735
10,38.012947,-1.3650069,-0.24791735
11,38.063263,-1.3449594,-0.24791735
12,38.112823,-1.3231083,-0.24791735
13,38.16156,-1.2994823,-0.24791735
14,38.20941,-1.2741122,-0.24791735
15,38.25632,-1.247031,-0.24791735
16,38.302216,-1.218274,-0.24791735
17,38.347046,-1.1878787,-0.24791735
18,38.39075,-1.1558847,-0.24791735
19,38.43327,-1.122334,-0.24791735
20,38.47455,-1.0872699,-0.24791735
21,38.514538,-1.0507385,-0.24791735
22,38.55318,-1.0127871,-0.24791735
23,38.590427,-0.9734654,-0.24791735
24,38.626232,-0.9328246,-0.24791735
25,38.660545,-0.8909177,-0.24791735
26,38.69332,-0.8477994,-0.24791735
27,38.72452,-0.8035258,-0.24791735
28,38.754105,-0.7581547,-0.24791735
29,38.78203,-0.7117452,-0.24791735
