idx,x,y,z
0,37.33352,-1.3530123,-0.22426336
1,37.387672,-1.3520344,-0.22426336
2,37.441757,-1.3491021,-0.22426336
3,37.495697,-1.3442193,-0.22426336
4,37.549427,-1.3373921,-0.22426336
5,37.60288,-1.3286296,-0.22426336
6,37.655975,-1.3179432,-0.22426336
7,37.708652,-1.3053467,-0.22426336
8,37.76084,-1.2908567,-0.22426336
9,37.812473,-1.2744921,-0.22426336
10,37.86348,-1.2562741,-0.22426336
11,37.913795,-1.2362266,-0.22426336
12,37.963352,-1.2143755,-0.22426336
13,38.012093,-1.1907495,-0.22426336
14,38.059944,-1.1653793,-0.22426336
15,38.10685,-1.1382982,-0.22426336
16,38.15275,-1.109541,-0.22426336
17,38.19758,-1.0791458,-0.22426336
18,38.24128,-1.0471519,-0.22426336
19,38.283802,-1.0136011,-0.22426336
20,38.32508,-0.9785371,-0.22426336
21,38.36507,-0.9420056,-0.22426336
22,38.403713,-0.9040542,-0.22426336
23,38.44096,-0.86473256,-0.22426336
24,38.476765,-0.8240918,-0.22426336
25,38.511074,-0.7821849,-0.22426336
26,38.543854,-0.73906654,-0.22426336
27,38.575054,-0.6947929,-0.22426336
28,38.604633,-0.6494218,-0.22426336
29,38.632557,-0.6030123,-0.22426336
