step,lateral_err,orientation_err,speed_fwd,speed_lat,angular_vel,norm_rf
0,-0.000010,-0.597625,-0.000789,-0.000430,0.001192,0.142574
1,0.470080,-0.673949,0.023066,0.036535,0.008638,0.142574
2,0.726261,-0.700920,0.018404,0.018930,0.015730,0.142574
